0,0.0
1,0.0,-13.6
2,0.0,-54.42,-77.86
3,0.0,-122.21,-196.66,-202.0
4,0.0,-217.23,-369.92,-388.05,-396.0
5,0.0,-340.05,-598.2,-636.02,-659.06,-667.0
6,0.0,-489.8,-880.65,-945.02,-991.0,-1015.01,-1025.0
7,0.0,-666.48,-1217.3,-1315.06,-1390.06,-1437.08,-1467.0,-1480.0
8,0.0,-871.0,-1609.07,-1747.05,-1858.05,-1935.08,-1990.03,-2024.09,-2036.0
9,0.0,-1102.41,-2055.04,-2240.08,-2394.08,-2508.09,-2595.08,-2658.0,-2691.03,-2707.0
10,0.0,-1361.6,-2556.12,-2795.07,-2999.05,-3157.04,-3283.04,-3380.02,-3442.0,-3481.03,-3501.0
11,0.0,-1648.51,-3112.31,-3412.02,-3672.06,-3881.02,-4053.03,-4191.05,-4288.07,-4358.06,-4404.03,-4409.0
12,0.0,-1962.21,-3722.71,-4090.05,-4414.04,-4680.05,-4905.05,-5092.0,-5231.04,-5339.01,-5417.06,-5432.03,-5439.0
13,0.0,-2303.56,-4388.22,-4830.07,-5224.09,-5555.05,-5840.02,-6081.07,-6270.04,-6422.06,-6541.0,-6569.01,-6586.06,-6592.0
14,0.0,-2672.49,-5108.82,-5632.08,-6104.03,-6506.01,-6857.04,-7160.08,-7405.06,-7609.03,-7774.05,-7819.02,-7851.02,-7866.09,-7874.0
15,0.0,-3069.86,-5885.42,-6497.0,-7052.07,-7532.07,-7957.04,-8329.05,-8637.03,-8899.03,-9118.02,-9182.07,-9232.05,-9262.0,-9281.02,-9291.0
16,0.0,-3493.79,-6716.21,-7423.04,-8070.03,-8635.03,-9140.04,-9587.09,-9965.06,-10292.08,-10572.02,-10659.07,-10730.05,-10777.01,-10811.02,-10834.0,-10843.0
17,0.0,-3946.02,-7602.99,-8412.03,-9157.02,-9814.02,-10406.04,-10936.02,-11390.07,-11789.09,-12136.07,-12250.03,-12345.03,-12412.01,-12464.06,-12503.06,-12526.0,-12537.0
18,0.0,-4425.59,-8544.86,-9463.07,-10313.06,-11069.06,-11755.09,-12374.07,-12912.09,-13390.09,-13811.09,-13954.08,-14077.0,-14167.04,-14241.03,-14299.08,-14339.0,-14365.04,-14380.0
19,0.0,-4933.31,-9542.71,-10577.08,-11539.07,-12401.07,-13188.09,-13903.04,-14532.02,-15096.0,-15598.0,-15773.02,-15925.09,-16042.09,-16141.05,-16222.06,-16282.0,-16326.04,-16356.09,-16360.0
20,0.0,-5469.1,-10596.53,-11754.09,-12835.07,-13810.06,-14705.07,-15522.08,-16249.01,-16905.04,-17495.03,-17706.0,-17892.02,-18038.09,-18165.03,-18272.03,-18355.0,-18420.07,-18470.05,-18481.09,-18487.0
21,0.0,-6033.75,-11707.21,-12995.0,-14201.09,-15296.07,-16306.07,-17233.0,-18063.07,-18819.05,-19504.0,-19753.02,-19976.01,-20155.07,-20313.01,-20448.09,-20558.02,-20648.05,-20720.08,-20744.06,-20756.08,-20762.0
22,0.0,-6625.41,-12872.97,-14298.05,-15638.04,-16860.02,-17992.0,-19034.03,-19976.04,-20838.04,-21624.04,-21915.03,-22178.0,-22393.06,-22585.0,-22752.08,-22891.08,-23009.09,-23107.09,-23150.01,-23176.07,-23189.06,-23195.0
23,0.0,-7245.73,-14095.56,-15665.04,-17145.06,-18501.04,-19762.01,-20927.01,-21987.05,-22962.05,-23856.09,-24192.06,-24498.01,-24752.08,-24981.04,-25184.03,-25356.02,-25505.0,-25632.0,-25696.02,-25742.0,-25770.02,-25783.05,-25789.000000000004
24,0.0,-7894.65,-15375.01,-17096.02,-18723.06,-20220.05,-21617.01,-22911.06,-24097.02,-25192.02,-26201.07,-26585.02,-26936.07,-27233.07,-27502.05,-27743.06,-27951.04,-28134.03,-28293.03,-28382.09,-28451.05,-28499.05,-28529.03,-28544.04,-28550.00000000004
